,age,job,marital,education,balance,housing,loan,day,month,duration,campaign,pdays,previous,poutcome,subscription,month_num
114,80,retired,married,primary,594,0,0,10,may,128,2,-1,0,2,0,5
115,80,retired,married,primary,2994,0,0,6,aug,320,1,-1,0,2,0,8
116,80,retired,married,primary,2954,0,0,25,sep,144,1,-1,0,2,0,9
117,80,retired,married,primary,1861,0,0,14,apr,563,2,-1,0,2,0,4
118,80,retired,married,primary,155,0,0,9,dec,343,2,-1,0,2,1,12
121,80,retired,married,primary,1548,0,0,6,aug,331,2,-1,0,2,0,8
123,80,retired,married,primary,1468,0,0,13,jan,330,3,-1,0,2,1,1
124,80,retired,married,primary,1021,0,0,26,feb,37,1,-1,0,2,0,2
125,80,retired,divorced,primary,5861,0,0,26,apr,92,8,-1,0,2,0,4
127,80,management,married,primary,6483,0,0,19,oct,123,1,-1,0,2,0,10
130,79,retired,married,unknown,0,0,0,8,jul,167,1,-1,0,2,0,7
132,79,retired,married,secondary,8304,0,0,9,mar,303,9,-1,0,2,1,3
135,79,retired,married,secondary,723,0,0,22,jun,295,3,-1,0,2,0,6
136,79,retired,married,secondary,668,0,0,2,jul,363,1,-1,0,2,1,7
137,79,retired,married,secondary,4738,0,0,9,jul,151,5,-1,0,2,0,7
138,79,retired,married,secondary,2661,0,0,10,nov,254,5,-1,0,2,1,11
139,79,retired,married,secondary,2354,0,0,7,aug,121,2,-1,0,2,0,8
141,79,retired,married,primary,429,0,0,8,jul,1006,2,-1,0,2,1,7
142,79,retired,married,primary,3481,0,0,17,apr,82,4,-1,0,2,0,4
145,79,retired,married,primary,1058,0,0,17,may,564,5,-1,0,2,0,5
149,79,retired,divorced,primary,79,0,0,9,oct,1106,2,-1,0,2,1,10
153,79,retired,divorced,primary,1910,0,0,24,feb,98,2,-1,0,2,0,2
154,79,housemaid,married,primary,0,0,0,18,aug,90,1,-1,0,2,0,8
155,78,unknown,married,unknown,2235,0,0,14,apr,300,3,-1,0,2,1,4
157,78,retired,married,unknown,4807,0,0,22,oct,1002,4,-1,0,2,1,10
159,78,retired,married,unknown,3208,0,0,20,may,351,3,-1,0,2,1,5
160,78,retired,married,tertiary,226,0,0,6,nov,136,1,-1,0,2,0,11
161,78,retired,married,tertiary,1204,0,0,17,nov,135,1,-1,0,2,1,11
162,78,retired,married,secondary,220,0,0,4,aug,220,1,-1,0,2,0,8
163,78,retired,married,primary,8556,0,0,21,apr,137,2,-1,0,2,1,4
164,78,retired,married,primary,832,0,0,11,may,97,3,-1,0,2,0,5
166,78,retired,married,primary,301,0,0,7,sep,537,2,-1,0,2,0,9
167,78,retired,married,primary,2735,0,0,26,feb,418,2,-1,0,2,0,2
168,78,retired,married,primary,240,0,0,20,apr,325,1,-1,0,2,1,4
169,78,retired,married,primary,158,0,0,18,feb,360,1,-1,0,2,0,2
171,78,retired,divorced,unknown,2628,0,0,14,apr,129,2,-1,0,2,0,4
172,78,retired,divorced,unknown,0,0,0,8,oct,259,1,-1,0,2,0,10
173,78,retired,divorced,tertiary,1016,0,0,22,jun,524,1,-1,0,2,0,6
174,78,retired,divorced,secondary,631,0,0,11,aug,95,1,-1,0,2,0,8
176,78,retired,divorced,secondary,3219,0,0,24,feb,151,1,-1,0,2,1,2
178,78,retired,divorced,primary,527,0,0,16,sep,193,1,-1,0,2,1,9
179,78,retired,divorced,primary,4917,0,0,29,dec,195,2,-1,0,2,0,12
180,78,retired,divorced,primary,2787,0,0,1,jul,372,1,-1,0,2,1,7
181,78,retired,divorced,primary,229,0,0,22,oct,97,1,-1,0,2,1,10
182,78,retired,divorced,primary,1389,0,0,8,apr,335,1,-1,0,2,1,4
184,78,housemaid,married,secondary,499,0,0,16,mar,80,4,-1,0,2,0,3
186,77,unknown,married,unknown,397,0,0,7,may,300,3,-1,0,2,1,5
187,77,retired,single,primary,300,0,0,9,sep,511,1,-1,0,2,0,9
189,77,retired,married,unknown,38,0,0,3,feb,261,1,-1,0,2,0,2
190,77,retired,married,unknown,1807,0,0,20,oct,373,1,-1,0,2,1,10
192,77,retired,married,tertiary,7802,0,0,1,feb,483,2,-1,0,2,1,2
193,77,retired,married,tertiary,699,0,0,13,aug,425,2,-1,0,2,1,8
194,77,retired,married,tertiary,1047,0,0,30,jun,108,5,-1,0,2,0,6
195,77,retired,married,tertiary,0,0,0,6,apr,190,1,-1,0,2,0,4
196,77,retired,married,tertiary,0,0,0,27,sep,990,4,-1,0,2,0,9
197,77,retired,married,tertiary,0,0,0,17,aug,286,1,-1,0,2,1,8
199,77,retired,married,secondary,9601,0,0,27,mar,515,1,-1,0,2,1,3
201,77,retired,married,secondary,638,0,0,7,aug,453,1,-1,0,2,1,8
203,77,retired,married,secondary,610,0,0,13,aug,766,3,-1,0,2,0,8
206,77,retired,married,secondary,2123,0,0,4,feb,141,4,-1,0,2,0,2
207,77,retired,married,secondary,1208,0,0,28,apr,72,4,-1,0,2,0,4
208,77,retired,married,primary,989,0,0,12,oct,95,2,-1,0,2,0,10
210,77,retired,married,primary,680,0,0,25,aug,103,3,-1,0,2,0,8
219,77,retired,married,primary,1385,0,0,8,sep,160,4,-1,0,2,0,9
220,77,retired,married,primary,121,0,0,7,oct,191,1,-1,0,2,0,10
221,77,retired,divorced,tertiary,4659,0,0,14,apr,161,1,-1,0,2,1,4
222,77,retired,divorced,secondary,3417,0,0,12,nov,134,1,-1,0,2,1,11
223,77,retired,divorced,secondary,0,0,0,25,sep,210,1,-1,0,2,1,9
224,77,retired,divorced,primary,639,0,0,16,apr,127,7,-1,0,2,0,4
228,77,management,married,tertiary,5619,0,0,25,mar,189,1,-1,0,2,0,3
231,76,retired,married,unknown,992,0,0,27,oct,139,2,-1,0,2,0,10
232,76,retired,married,unknown,8919,0,0,28,jan,231,1,-1,0,2,0,1
236,76,retired,married,tertiary,0,0,0,19,aug,170,1,-1,0,2,0,8
237,76,retired,married,secondary,852,0,0,3,feb,283,2,-1,0,2,0,2
238,76,retired,married,secondary,820,0,0,23,apr,263,4,-1,0,2,1,4
239,76,retired,married,secondary,4112,0,0,23,oct,282,2,-1,0,2,1,10
240,76,retired,married,secondary,242,0,0,16,sep,994,3,-1,0,2,0,9
242,76,retired,married,secondary,2302,0,0,10,nov,345,2,-1,0,2,0,11
246,76,retired,married,primary,2632,0,0,28,aug,368,2,-1,0,2,0,8
247,76,retired,married,primary,2590,0,0,9,feb,68,12,-1,0,2,0,2
248,76,retired,married,primary,2223,0,0,4,feb,429,1,-1,0,2,1,2
249,76,retired,married,primary,163,0,0,13,oct,120,1,-1,0,2,0,10
250,76,retired,married,primary,1492,0,0,3,nov,383,1,-1,0,2,1,11
251,76,retired,divorced,primary,86,0,0,12,aug,192,1,-1,0,2,0,8
252,76,retired,divorced,primary,802,0,0,9,sep,475,5,-1,0,2,1,9
254,76,retired,divorced,primary,3049,0,0,24,mar,170,3,-1,0,2,1,3
256,76,retired,divorced,primary,2693,0,0,21,oct,107,2,-1,0,2,1,10
257,76,management,married,unknown,1780,1,0,23,apr,413,3,-1,0,2,1,4
258,76,housemaid,married,primary,1483,0,0,2,aug,90,4,-1,0,2,0,8
260,76,housemaid,divorced,primary,1411,0,0,15,apr,170,3,-1,0,2,1,4
261,75,unknown,married,tertiary,643,0,0,15,oct,522,2,-1,0,2,0,10
262,75,self-employed,married,unknown,4984,0,0,28,oct,509,1,-1,0,2,1,10
267,75,retired,married,tertiary,2991,0,0,22,apr,240,1,-1,0,2,1,4
268,75,retired,married,secondary,468,0,0,24,jun,316,1,-1,0,2,0,6
274,75,retired,married,secondary,26452,0,0,15,jul,219,2,-1,0,2,0,7
275,75,retired,married,secondary,1470,0,0,27,feb,49,1,-1,0,2,0,2
276,75,retired,married,primary,962,0,0,17,jun,344,1,-1,0,2,0,6
277,75,retired,married,primary,5491,0,0,28,jul,258,6,-1,0,2,0,7
278,75,retired,married,primary,358,0,0,17,feb,364,11,-1,0,2,1,2
279,75,retired,married,primary,3504,0,0,9,aug,195,1,-1,0,2,0,8
280,75,retired,married,primary,3324,0,0,2,feb,149,1,-1,0,2,0,2
281,75,retired,married,primary,2970,0,0,12,aug,641,1,-1,0,2,1,8
286,75,retired,divorced,secondary,2199,0,0,13,nov,137,1,-1,0,2,0,11
287,75,retired,divorced,secondary,1341,0,0,18,dec,415,7,-1,0,2,1,12
289,75,retired,divorced,secondary,105,0,0,14,apr,232,1,-1,0,2,0,4
291,75,retired,divorced,primary,852,0,0,15,mar,341,1,-1,0,2,0,3
292,75,retired,divorced,primary,46,0,0,2,feb,294,1,-1,0,2,0,2
293,75,retired,divorced,primary,3881,1,0,4,feb,136,3,-1,0,2,1,2
294,75,retired,divorced,primary,37127,0,0,11,feb,505,1,-1,0,2,0,2
296,75,retired,divorced,primary,18,0,0,24,apr,222,4,-1,0,2,0,4
297,75,blue-collar,married,secondary,6053,0,0,5,aug,416,1,-1,0,2,0,8
299,75,admin.,married,unknown,1093,0,0,22,apr,369,1,-1,0,2,0,4
300,74,retired,married,unknown,7819,0,0,6,aug,165,3,-1,0,2,0,8
301,74,retired,married,tertiary,6027,0,0,14,aug,233,2,-1,0,2,0,8
302,74,retired,married,tertiary,4912,0,0,21,oct,129,3,-1,0,2,0,10
305,74,retired,married,tertiary,20422,0,0,12,aug,90,2,-1,0,2,0,8
308,74,retired,married,tertiary,1742,0,0,28,oct,1092,1,-1,0,2,0,10
309,74,retired,married,tertiary,1124,0,0,13,oct,200,2,-1,0,2,0,10
310,74,retired,married,secondary,9480,0,0,21,apr,211,1,-1,0,2,1,4
314,74,retired,married,secondary,921,0,0,17,apr,394,2,-1,0,2,1,4
315,74,retired,married,secondary,3771,0,0,16,apr,159,1,-1,0,2,0,4
316,74,retired,married,secondary,291,0,0,12,aug,543,1,-1,0,2,0,8
317,74,retired,married,secondary,1714,0,0,17,feb,127,1,-1,0,2,1,2
318,74,retired,married,primary,670,0,0,23,apr,266,5,-1,0,2,1,4
321,74,retired,married,primary,4286,0,0,30,sep,195,1,-1,0,2,0,9
323,74,retired,married,primary,279,0,0,15,oct,227,1,-1,0,2,0,10
324,74,retired,married,primary,1765,0,0,11,sep,290,2,-1,0,2,1,9
325,74,retired,married,primary,1413,0,0,25,feb,385,2,-1,0,2,1,2
326,74,retired,married,primary,10253,0,0,20,aug,84,1,-1,0,2,0,8
327,74,retired,married,primary,0,0,0,4,sep,113,1,-1,0,2,0,9
329,74,retired,married,primary,0,0,0,13,aug,562,2,-1,0,2,1,8
330,74,retired,divorced,tertiary,3810,1,0,17,may,492,1,-1,0,2,0,5
331,74,retired,divorced,secondary,4079,0,0,19,oct,343,3,-1,0,2,1,10
334,74,retired,divorced,primary,166,0,0,13,aug,99,1,-1,0,2,0,8
335,74,management,married,tertiary,4515,0,0,17,apr,1161,5,-1,0,2,0,4
336,74,housemaid,married,unknown,161,0,0,2,apr,240,1,-1,0,2,0,4
337,73,retired,single,secondary,1050,0,0,4,sep,73,2,-1,0,2,0,9
339,73,retired,married,unknown,739,0,0,11,sep,210,1,-1,0,2,1,9
341,73,retired,married,unknown,519,0,0,20,aug,91,1,-1,0,2,0,8
343,73,retired,married,unknown,3443,0,0,4,sep,770,3,-1,0,2,1,9
344,73,retired,married,tertiary,459,0,0,17,feb,281,1,-1,0,2,1,2
345,73,retired,married,tertiary,448,0,0,24,mar,136,1,-1,0,2,1,3
347,73,retired,married,tertiary,443,0,0,5,feb,133,2,-1,0,2,0,2
348,73,retired,married,tertiary,2575,0,0,17,aug,152,1,-1,0,2,0,8
349,73,retired,married,tertiary,1843,0,0,11,sep,106,2,-1,0,2,1,9
350,73,retired,married,tertiary,1641,1,0,27,feb,49,2,-1,0,2,1,2
355,73,retired,married,secondary,250,0,0,31,aug,245,4,-1,0,2,0,8
356,73,retired,married,secondary,19,0,0,5,nov,509,2,-1,0,2,0,11
357,73,retired,married,secondary,1292,0,0,3,apr,420,1,-1,0,2,0,4
358,73,retired,married,primary,934,0,0,14,sep,961,5,-1,0,2,1,9
362,73,retired,married,primary,5539,0,0,6,aug,338,1,-1,0,2,1,8
363,73,retired,married,primary,542,0,0,29,apr,107,5,-1,0,2,0,4
365,73,retired,married,primary,508,0,0,9,mar,176,1,-1,0,2,1,3
367,73,retired,married,primary,279,0,0,28,jan,399,3,-1,0,2,1,1
368,73,retired,married,primary,253,0,0,20,apr,345,1,-1,0,2,1,4
369,73,retired,married,primary,154,0,0,15,oct,103,1,-1,0,2,0,10
373,73,retired,divorced,tertiary,3203,0,0,20,apr,148,1,-1,0,2,1,4
374,73,retired,divorced,secondary,7111,1,0,12,oct,146,1,-1,0,2,1,10
376,73,retired,divorced,secondary,1092,0,0,7,aug,390,2,-1,0,2,0,8
377,73,retired,divorced,primary,5028,0,0,4,dec,696,10,-1,0,2,1,12
378,73,retired,divorced,primary,2308,0,0,30,mar,163,2,-1,0,2,1,3
379,73,management,married,tertiary,1609,0,0,14,jul,169,2,-1,0,2,1,7
380,73,management,married,secondary,683,0,0,11,aug,181,1,-1,0,2,0,8
381,72,unknown,married,unknown,1165,0,0,11,aug,400,3,-1,0,2,0,8
382,72,self-employed,married,tertiary,132,0,0,27,apr,444,1,-1,0,2,1,4
384,72,retired,single,unknown,588,0,1,5,mar,66,3,-1,0,2,0,3
385,72,retired,single,tertiary,614,0,0,14,aug,553,1,-1,0,2,0,8
389,72,retired,married,unknown,413,0,0,7,dec,358,6,-1,0,2,0,12
390,72,retired,married,unknown,1940,0,0,4,dec,705,2,-1,0,2,1,12
392,72,retired,married,tertiary,2,0,0,7,aug,147,2,-1,0,2,1,8
393,72,retired,married,tertiary,0,0,0,13,feb,99,1,-1,0,2,1,2
395,72,retired,married,secondary,676,0,0,25,aug,188,3,-1,0,2,0,8
396,72,retired,married,secondary,6253,0,0,7,sep,456,1,-1,0,2,0,9
399,72,retired,married,secondary,4269,0,0,16,apr,122,3,-1,0,2,0,4
400,72,retired,married,secondary,4130,0,0,12,nov,427,1,-1,0,2,0,11
402,72,retired,married,secondary,1978,0,0,6,sep,312,1,-1,0,2,1,9
403,72,retired,married,secondary,17739,0,0,11,sep,135,4,-1,0,2,0,9
404,72,retired,married,secondary,1533,0,0,16,dec,546,2,-1,0,2,1,12
405,72,retired,married,secondary,1129,0,0,26,aug,186,1,-1,0,2,1,8
407,72,retired,married,secondary,0,0,0,29,oct,189,3,-1,0,2,1,10
408,72,retired,married,primary,9160,0,0,5,feb,229,1,-1,0,2,0,2
409,72,retired,married,primary,806,0,0,19,oct,169,1,-1,0,2,0,10
410,72,retired,married,primary,796,0,0,24,apr,173,2,-1,0,2,0,4
411,72,retired,married,primary,763,0,0,24,apr,384,2,-1,0,2,1,4
416,72,retired,married,primary,3232,0,0,12,nov,771,2,-1,0,2,0,11
418,72,retired,married,primary,2304,0,0,5,may,510,4,-1,0,2,1,5
420,72,retired,married,primary,1612,0,0,7,aug,530,2,-1,0,2,1,8
421,72,retired,married,primary,1388,0,0,20,oct,513,1,-1,0,2,1,10
422,72,retired,married,primary,0,0,0,29,dec,215,2,-1,0,2,0,12
425,72,retired,divorced,tertiary,438,0,0,23,feb,279,1,-1,0,2,1,2
426,72,retired,divorced,tertiary,402,0,0,12,jul,194,3,-1,0,2,0,7
427,72,retired,divorced,primary,0,0,0,28,aug,359,1,-1,0,2,0,8
428,72,management,married,tertiary,7003,0,0,24,jul,116,3,-1,0,2,0,7
429,72,management,married,secondary,6199,0,0,3,sep,531,1,-1,0,2,0,9
430,72,blue-collar,married,primary,4415,0,0,13,oct,120,1,-1,0,2,0,10
435,71,technician,married,tertiary,383,0,0,27,apr,388,3,-1,0,2,1,4
437,71,self-employed,married,secondary,5946,0,0,3,jul,59,7,-1,0,2,0,7
438,71,retired,single,tertiary,1285,0,0,27,jul,195,2,-1,0,2,0,7
439,71,retired,married,unknown,362,0,0,12,feb,139,2,-1,0,2,0,2
440,71,retired,married,unknown,1741,0,0,18,aug,177,1,-1,0,2,0,8
442,71,retired,married,tertiary,653,0,0,26,feb,367,1,-1,0,2,1,2
443,71,retired,married,tertiary,4388,0,0,8,jul,896,2,-1,0,2,1,7
445,71,retired,married,tertiary,3895,0,0,7,aug,116,1,-1,0,2,0,8
446,71,retired,married,tertiary,3561,0,0,15,mar,577,7,-1,0,2,1,3
447,71,retired,married,tertiary,2887,0,0,30,jun,128,1,-1,0,2,1,6
448,71,retired,married,tertiary,2651,0,0,5,feb,531,2,-1,0,2,0,2
450,71,retired,married,tertiary,1486,0,0,21,apr,110,3,-1,0,2,0,4
451,71,retired,married,tertiary,14220,1,0,9,sep,397,1,-1,0,2,1,9
452,71,retired,married,secondary,951,0,1,7,apr,83,1,-1,0,2,0,4
453,71,retired,married,secondary,91,0,0,9,dec,87,6,-1,0,2,0,12
454,71,retired,married,secondary,5715,0,0,17,nov,747,2,-1,0,2,1,11
457,71,retired,married,secondary,2850,0,0,17,feb,185,1,-1,0,2,1,2
460,71,retired,married,secondary,1998,0,0,23,jun,201,1,-1,0,2,0,6
461,71,retired,married,secondary,1712,0,0,11,feb,660,1,-1,0,2,1,2
462,71,retired,married,secondary,1696,0,0,6,oct,486,1,-1,0,2,1,10
463,71,retired,married,secondary,1651,0,0,13,aug,791,2,-1,0,2,0,8
464,71,retired,married,primary,4847,0,0,16,sep,657,2,-1,0,2,0,9
465,71,retired,married,primary,4657,0,0,16,feb,93,5,-1,0,2,1,2
467,71,retired,married,primary,2988,0,0,17,apr,130,1,-1,0,2,1,4
468,71,retired,married,primary,2600,0,0,7,aug,212,1,-1,0,2,1,8
470,71,retired,married,primary,2171,0,0,10,mar,625,4,-1,0,2,0,3
471,71,retired,married,primary,10394,0,0,10,aug,411,1,-1,0,2,0,8
472,71,retired,married,primary,0,0,0,16,sep,246,3,-1,0,2,0,9
473,71,retired,divorced,unknown,392,0,0,7,jul,276,2,-1,0,2,1,7
474,71,retired,divorced,tertiary,1236,1,0,14,sep,335,4,-1,0,2,1,9
475,71,retired,divorced,tertiary,780,0,0,22,apr,220,1,-1,0,2,0,4
476,71,retired,divorced,tertiary,261,0,0,12,aug,1117,2,-1,0,2,0,8
477,71,retired,divorced,secondary,5584,0,0,21,aug,534,3,-1,0,2,1,8
478,71,retired,divorced,secondary,4380,0,0,22,sep,369,1,-1,0,2,1,9
482,71,retired,divorced,primary,1729,0,0,17,nov,456,2,-1,0,2,1,11
484,71,housemaid,married,primary,227,0,0,8,apr,74,1,-1,0,2,0,4
487,70,unknown,married,tertiary,353,0,0,26,oct,110,2,-1,0,2,0,10
488,70,technician,married,tertiary,6797,0,0,12,aug,298,1,-1,0,2,0,8
489,70,technician,married,secondary,3020,0,0,30,apr,56,1,-1,0,2,0,4
491,70,retired,single,primary,0,0,0,9,sep,145,1,-1,0,2,0,9
492,70,retired,married,unknown,853,0,0,15,apr,120,1,-1,0,2,0,4
494,70,retired,married,unknown,4290,0,0,11,aug,172,2,-1,0,2,0,8
495,70,retired,married,unknown,1236,0,0,12,mar,58,4,-1,0,2,0,3
497,70,retired,married,tertiary,15834,0,0,1,oct,90,1,-1,0,2,0,10
499,70,retired,married,secondary,6422,0,0,10,mar,122,1,-1,0,2,1,3
500,70,retired,married,secondary,616,0,0,27,oct,89,1,-1,0,2,0,10
502,70,retired,married,secondary,3175,0,0,19,oct,115,2,-1,0,2,0,10
503,70,retired,married,secondary,2815,0,0,26,oct,67,1,-1,0,2,0,10
506,70,retired,married,secondary,2626,0,0,2,sep,140,2,-1,0,2,1,9
507,70,retired,married,secondary,2575,0,0,20,apr,216,2,-1,0,2,1,4
508,70,retired,married,secondary,2384,0,0,30,oct,196,2,-1,0,2,1,10
509,70,retired,married,secondary,2064,0,0,22,oct,334,1,-1,0,2,0,10
510,70,retired,married,secondary,1853,0,0,26,aug,314,1,-1,0,2,1,8
511,70,retired,married,secondary,1310,0,0,15,oct,634,1,-1,0,2,0,10
514,70,retired,married,secondary,1164,0,0,10,nov,208,2,-1,0,2,0,11
515,70,retired,married,secondary,1024,0,0,17,apr,278,1,-1,0,2,0,4
517,70,retired,married,primary,8897,0,0,6,oct,692,2,-1,0,2,0,10
518,70,retired,married,primary,7781,0,0,3,jul,222,1,-1,0,2,0,7
519,70,retired,married,primary,6538,0,0,9,sep,394,1,-1,0,2,1,9
521,70,retired,married,primary,4982,0,0,4,may,794,2,-1,0,2,0,5
523,70,retired,married,primary,3782,0,0,16,mar,618,1,-1,0,2,0,3
526,70,retired,married,primary,3230,0,0,24,nov,112,1,-1,0,2,0,11
529,70,retired,married,primary,2795,0,0,8,jan,301,2,-1,0,2,1,1
537,70,retired,divorced,secondary,3104,0,0,7,oct,88,1,-1,0,2,0,10
538,70,retired,divorced,secondary,0,0,0,8,sep,206,1,-1,0,2,1,9
539,70,retired,divorced,primary,828,0,0,28,dec,433,1,-1,0,2,0,12
542,70,retired,divorced,primary,4531,0,0,18,may,445,1,-1,0,2,0,5
543,70,retired,divorced,primary,383,0,0,28,apr,50,2,-1,0,2,0,4
544,70,retired,divorced,primary,275,0,0,15,apr,82,1,-1,0,2,1,4
545,70,management,married,tertiary,5563,0,0,6,feb,146,1,-1,0,2,0,2
546,70,management,married,tertiary,13297,0,0,2,feb,579,2,-1,0,2,0,2
547,70,management,married,tertiary,1295,0,0,26,mar,698,1,-1,0,2,0,3
548,70,management,married,tertiary,10171,0,0,18,aug,65,2,-1,0,2,0,8
551,70,housemaid,divorced,primary,1311,0,0,11,aug,651,1,-1,0,2,1,8
552,70,entrepreneur,married,tertiary,15265,0,0,17,aug,551,2,-1,0,2,0,8
553,70,blue-collar,married,primary,3075,0,0,10,aug,74,1,-1,0,2,0,8
554,69,technician,married,tertiary,482,0,0,4,nov,101,1,-1,0,2,0,11
556,69,technician,married,secondary,9064,0,0,7,aug,714,1,-1,0,2,1,8
